Organisation Name,Annual Revenue,Assigned To,Created Time,Start Financial Year,Commitment Number of Jobs,Registration Status,BBBEE ALign,Demand Shaping Package,Demand Shaping Start Date,Uncontactable Company,CRM Status,M & E Payment Made,Youth Uploaded,Phones Delivered,Extra Youth
K2018239548 (South Africa) (Pty) Ltd,46412642100000,YES Administrator,23-01-2019 19:06:36,September,15,Registered,yes,NA,01-10-2019,no,On - Track August 2019,no,NA,NA,0
e-Merge IT Recruitment cc,25871980,Itumeleng Lentsoane,24-01-2019 08:53:22,March,4,Registered,yes,Small Biz - 1700,26-02-2019,no,On Track - July 2019,yes,NA,NA,0
Peninsula Plumbing & Engineering Works (Pty) Ltd,74459847,YES Administrator,24-01-2019 10:00:34,July,9,Calculating for BBBEE,yes,NA,NA,no,On Hold - Other,no,NA,NA,0
TECHNOLOGY CORPORATE MANAGEMENT (PTY) LTD,1100000000,YES Administrator,24-01-2019 12:41:58,March,38,Registered,yes,In-House - 5000,15-05-2019,no,On - Track August 2019,yes,NA,Yes,0
All Exclusive Brands Combined,0,YES Administrator,25-01-2019 07:35:57,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
roundneck holdings,0,YES Administrator,25-01-2019 10:07:02,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Puma Energy South Africa (Pty) Ltd,0,YES Administrator,25-01-2019 12:39:12,December,16,Registered,no,Host Placement 9000,24-12-2018,no,On Track,yes,NA,Yes,0
KISME (Pty) Ltd,53000000,YES Administrator,26-01-2019 19:46:16,March,8,Registered,yes,In-House 5000,09-01-2019,no,On Track,yes,NA,Yes,0
Computer Business Center,0,YES Administrator,27-01-2019 13:42:41,January,10,Awaiting Pledge and Payment,no,NA,NA,no,Archived,no,NA,NA,0
Tourvest Destination Retail,898022000,YES Administrator,28-01-2019 09:24:03,September,15,Registered,yes,In-House 5000,01-04-2019,no,On - Track August 2019,yes,NA,Yes,0
yawhee cleaning material,0,YES Administrator,28-01-2019 12:27:47,NA,0,Initial Signup,no,NA,NA,no,Potential Host,no,NA,NA,0
MLC QUANTITY SURVEYORS SA (PTY) LTD,112289770,YES Administrator,28-01-2019 14:33:06,March,8,Registered,yes,Host Placement - 9000,28-02-2019,no,NA,yes,NA,Yes,0
Engineering Advice & Services (Pty) Ltd,69540814,YES Administrator,28-01-2019 16:01:36,March,12,Registered,yes,In-House 5000,01-02-2019,no,On - Track August 2019,yes,NA,Yes,1
Volkswagen of South Africa (Pty) Ltd,47121862662,Zintle Raziya,28-01-2019 16:10:57,January,517,Registered,yes,Host Placement 9000,01-03-2019,no,NA,yes,NA,Yes,43
iX engineers (Pty)Ltd,0,YES Administrator,29-01-2019 07:55:31,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Supersonic,0,Marc Ashton,29-01-2019 08:56:35,NA,0,Initial Signup,no,NA,NA,no,On Track - July 2019,no,NA,NA,0
Norval Wentzel Steinberg Quantity Surveyors,55000000,YES Administrator,29-01-2019 10:14:56,March,12,Initial Signup,yes,NA,NA,no,Archived,no,NA,NA,0
Gav Corp PTY LTD,0,YES Administrator,30-01-2019 08:44:22,July,3,Registered,no,NA,01-05-2019,no,Potential Host,no,NA,NA,0
Woolworths Pty. Ltd,0,YES Administrator,30-01-2019 09:25:21,July,450,Registered,no,NA,03-04-2019,no,NA,yes,NA,Not Taking Phones,0
Engineering Advice & Services Western Cape (PTY) LTD,452080,YES Administrator,30-01-2019 09:34:22,March,2,Registered,yes,Small Biz 1700,01-02-2019,no,On Track - July 2019,yes,NA,NA,0
Fermel(Pty)Ltd,324000000,YES Administrator,30-01-2019 11:19:41,March,12,Registered,yes,In-House 5000,06-02-2019,no,NA,yes,NA,Yes,1
SensusSA,157000000,YES Administrator,30-01-2019 14:17:25,December,9,Registered,yes,NA,30-04-2019,no,Requested Refund,no,NA,NA,0
Diva Nutritional Products (Pty) Ltd,327413372,YES Administrator,30-01-2019 16:38:37,July,18,Registered,yes,In-House 5000,01-04-2019,no,NA,yes,NA,Yes,0
L&J Tools & Engineering Works,250000000,Marc Ashton,31-01-2019 10:11:07,March,11,Adding Business Details,yes,NA,NA,no,On Track - July 2019,no,NA,NA,0
KRANZ COMPRESSOR COMPONENTS(PTY)LTD,17000000,YES Administrator,31-01-2019 11:59:49,March,2,Awaiting Pledge and Payment,yes,NA,NA,no,On Track - July 2019,no,NA,NA,0
Singular Systems (Pty) Ltd,0,YES Administrator,31-01-2019 16:14:48,NA,0,Initial Signup,no,NA,NA,no,On - Track August 2019,no,NA,NA,0
Videovision Entertainment,40093394,YES Administrator,01-02-2019 10:34:50,January,1,Registered,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
Hatch Africa,500000000,Leseli Lolwana,04-02-2019 08:23:19,October,29,Calculating for BBBEE,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
Universal Corporate Wellness,4300000,YES Administrator,04-02-2019 08:49:10,March,4,Registered,yes,In-House 5000,20-02-2019,no,On Track,yes,NA,Yes,0
